code_module,code_presentation,id_student,final_result,final_marks
AAA,2013J,11391,Pass,82.4
AAA,2013J,28400,Pass,65.4
AAA,2013J,30268,Withdrawn,0.0
AAA,2013J,31604,Pass,76.3
AAA,2013J,32885,Pass,55.0
AAA,2013J,38053,Pass,66.9
AAA,2013J,45462,Pass,67.8
AAA,2013J,45642,Pass,72.5
AAA,2013J,52130,Pass,71.2
AAA,2013J,53025,Pass,79.0
AAA,2013J,57506,Pass,74.0
AAA,2013J,58873,Pass,73.7
AAA,2013J,59185,Pass,80.8
AAA,2013J,62155,Pass,76.4
AAA,2013J,63400,Pass,71.2
AAA,2013J,65002,Withdrawn,20.2
AAA,2013J,70464,Pass,53.5
AAA,2013J,71361,Pass,79.7
AAA,2013J,74372,Fail,32.8
AAA,2013J,75091,Pass,65.8
AAA,2013J,77367,Pass,69.5
AAA,2013J,91265,Pass,69.0
AAA,2013J,94961,Withdrawn,7.4
AAA,2013J,98094,Pass,60.6
AAA,2013J,100893,Pass,68.7
AAA,2013J,101781,Pass,71.6
AAA,2013J,102806,Pass,76.0
AAA,2013J,102952,Pass,77.1
AAA,2013J,104476,Pass,78.9
AAA,2013J,106247,Withdrawn,29.3
AAA,2013J,106577,Pass,54.2
AAA,2013J,110175,Pass,63.7
AAA,2013J,111717,Pass,48.9
AAA,2013J,113295,Pass,77.3
AAA,2013J,114017,Pass,72.3
AAA,2013J,114999,Pass,70.8
AAA,2013J,116541,Pass,59.8
AAA,2013J,116692,Pass,74.2
AAA,2013J,118983,Pass,59.0
AAA,2013J,123044,Pass,70.7
AAA,2013J,127582,Pass,69.4
AAA,2013J,129955,Withdrawn,40.1
AAA,2013J,132976,Pass,67.3
AAA,2013J,134143,Distinction,83.8
AAA,2013J,135335,Withdrawn,0.0
AAA,2013J,135400,Withdrawn,17.4
AAA,2013J,137873,Pass,81.7
AAA,2013J,141355,Pass,72.0
AAA,2013J,141377,Withdrawn,4.5
AAA,2013J,142326,Pass,75.3
AAA,2013J,144801,Pass,70.6
AAA,2013J,145130,Pass,53.2
AAA,2013J,146188,Fail,48.8
AAA,2013J,147756,Fail,51.3
AAA,2013J,147793,Withdrawn,5.2
AAA,2013J,148993,Withdrawn,36.4
AAA,2013J,151358,Pass,49.6
AAA,2013J,155550,Pass,66.0
AAA,2013J,155854,Pass,79.4
AAA,2013J,155984,Withdrawn,23.5
AAA,2013J,157568,Pass,68.6
AAA,2013J,159954,Withdrawn,20.1
AAA,2013J,164259,Pass,70.4
AAA,2013J,167906,Pass,70.9
AAA,2013J,168936,Pass,64.9
AAA,2013J,172112,Pass,71.1
AAA,2013J,172797,Pass,61.4
AAA,2013J,174782,Pass,80.1
AAA,2013J,175392,Pass,81.7
AAA,2013J,175932,Pass,78.8
AAA,2013J,175991,Fail,36.0
AAA,2013J,180753,Pass,51.7
AAA,2013J,181316,Withdrawn,7.6
AAA,2013J,183096,Pass,54.0
AAA,2013J,183947,Pass,46.6
AAA,2013J,184271,Pass,58.7
AAA,2013J,185439,Fail,7.4
AAA,2013J,186149,Pass,75.6
AAA,2013J,187100,Distinction,89.4
AAA,2013J,188278,Withdrawn,7.6
AAA,2013J,189879,Pass,78.8
AAA,2013J,192183,Pass,66.7
AAA,2013J,195262,Withdrawn,10.0
AAA,2013J,200860,Pass,50.8
AAA,2013J,202635,Withdrawn,33.2
AAA,2013J,205350,Pass,72.2
AAA,2013J,205719,Fail,27.3
AAA,2013J,227499,Distinction,83.5
AAA,2013J,227517,Fail,61.7
